Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w
321.8,4.497781,0.1,Stainless steel ,2.67,2743955.548,51662145.6,0.053113465
307.73,1.904639,0.1,Stainless steel ,2.67,2744150.852,51662145.6,0.053117245
430.3,14.35594,0.1,Stainless steel ,2.67,2742370.967,51662145.6,0.053082793
351.92,9.147093,0.1,Stainless steel ,2.67,2743377.486,51662145.6,0.053102275
307.21,5.098822,0.1,Stainless steel ,2.67,2743897.422,51662145.6,0.05311234
305.4,2.089949,0.1,Stainless steel ,2.67,2744139.86,51662145.6,0.053117032
452.8,14.35594,0.1,Stainless steel ,2.67,2742370.967,51662145.6,0.053082793
367.68,9.147093,0.1,Stainless steel ,2.67,2743377.486,51662145.6,0.053102275
333.41,5.098822,0.1,Stainless steel ,2.67,2743897.422,51662145.6,0.05311234
311.96,2.089949,0.1,Stainless steel ,2.67,2744139.86,51662145.6,0.053117032
410.32,14.35594,0.1,Stainless steel ,2.67,2742370.967,51662145.6,0.053082793
357.87,8.984661,0.1,Stainless steel ,2.67,2743402.705,51662145.6,0.053102764
308.37,4.749727,0.1,Stainless steel ,2.67,2743931.776,51662145.6,0.053113005
299.78,1.885201,0.1,Stainless steel ,2.67,2744151.978,51662145.6,0.053117267
427.01,14.12377,0.1,Stainless steel ,2.67,2742424.107,51662145.6,0.053083821
354.03,9.469861,0.1,Stainless steel ,2.67,2743326.281,51662145.6,0.053101284
313.51,4.475887,0.1,Stainless steel ,2.67,2743957.573,51662145.6,0.053113504
297.52,1.883415,0.1,Stainless steel ,2.67,2744152.081,51662145.6,0.053117269
432.59,14.12377,0.1,Stainless steel ,2.67,2742424.107,51662145.6,0.053083821
354.38,9.469861,0.1,Stainless steel ,2.67,2743326.281,51662145.6,0.053101284
300.37,4.475887,0.1,Stainless steel ,2.67,2743957.573,51662145.6,0.053113504
299.71,1.883415,0.1,Stainless steel ,2.67,2744152.081,51662145.6,0.053117269
448.19,14.12377,0.1,Stainless steel ,2.67,2742424.107,51662145.6,0.053083821
361.92,9.469861,0.1,Stainless steel ,2.67,2743326.281,51662145.6,0.053101284
323.7,4.475887,0.1,Stainless steel ,2.67,2743957.573,51662145.6,0.053113504
305.84,1.883415,0.1,Stainless steel ,2.67,2744152.081,51662145.6,0.053117269
335.17,2.011752,0.1,Zirconium,2.67,2744144.554,41460642,0.066186736
335.52,2.011752,0.1,Zirconium,2.67,2744144.554,41460642,0.066186736
327.1,2.011752,0.1,Zirconium,2.67,2744144.554,41460642,0.066186736
363.35,5.276989,0.1,Zirconium,2.67,2743879.254,41460642,0.066180337
463.92,15.0359,0.1,Zirconium,2.67,2742210.821,41460642,0.066140095
464.15,15.0359,0.1,Zirconium,2.67,2742210.821,41460642,0.066140095
277.29,2.071746,0.1,Inconel,2.67,2744140.96,85592111.22,0.032060676
271.17,2.068447,0.1,Inconel,2.67,2744141.159,85592111.22,0.032060678
274.01,2.719435,0.1,Inconel,2.67,2744099.13,85592111.22,0.032060187
314.63,10.17882,0.1,Inconel,2.67,2743208.686,85592111.22,0.032049784
373.42,14.67282,0.1,Inconel,2.67,2742297.172,85592111.22,0.032039135
406.1,19.57329,0.1,Inconel,2.67,2740967.523,85592111.22,0.0320236
